Ano,Jogo,Objetivo_Semanal_EUR,Notas
2025,Raspadinha,2628,Objetivo base
2025,Euromilhões,787,"88% do total 894 (2,2€ de cada aposta de 2,5€)"
2025,Milhão,107,"12% do total 894 (0,3€ de cada aposta de 2,5€)"
2025,Placard,434,Objetivo base
2025,Totoloto,153,Objetivo base
2025,Hipicas,0,Sem vendas
2025,Lotaria Popular,107,Objetivo base
2025,Totobola,3,Objetivo base
2025,EuroDreams,302,Objetivo base
2025,Lotaria Clássica,72,Objetivo base
2025,M1lhao,107,Objetivo base
2026,Raspadinha,0,A definir
2026,Euromilhoes,0,A definir
2026,Milhao,0,A definir
2026,Placard,0,A definir
2026,Totoloto,0,A definir
2026,Hipicas,0,A definir
2026,Lotaria Popular,0,A definir
2026,Totobola,0,A definir
